66,11/16/2012,\N,5,Venta,12,11/18/2012,Pago Posterior,Terminada,\N
67,11/19/2012,\N,5,Venta,117,11/21/2012,Pago Posterior,Terminada,\N
68,11/19/2012,\N,16,Venta,3,11/21/2012,Pago Contra Entrega,Terminada,\N
69,11/19/2012,\N,16,Venta,3,11/21/2012,Pago Contra Entrega,Terminada,\N
70,11/19/2012,\N,5,Soporte,11,11/21/2012,Pago ya Efectuado,Terminada,\N
71,11/19/2012,\N,4,Venta,30,11/21/2012,Pago Contra Entrega,Terminada,\N
72,11/19/2012,\N,15,Retiro,249,11/21/2012,Pago Posterior,Terminada,\N
73,11/19/2012,\N,16,Soporte,3,11/21/2012,Pago ya Efectuado,Terminada,\N
74,11/19/2012,\N,7,Venta,38,11/21/2012,Pago Posterior,Terminada,\N
75,11/19/2012,\N,5,Venta,3,11/21/2012,Pago Contra Entrega,Terminada,\N
76,11/19/2012,\N,5,Venta,187,11/21/2012,Pago Contra Entrega,Terminada,\N
77,11/19/2012,\N,5,Venta,187,11/21/2012,Pago Contra Entrega,Terminada,\N
78,11/19/2012,\N,5,Venta,187,11/21/2012,Pago Contra Entrega,Terminada,\N
79,11/19/2012,\N,4,Venta,4,11/21/2012,Pago Posterior,Terminada,\N
80,11/19/2012,\N,5,Soporte,211,11/21/2012,Pago ya Efectuado,Terminada,\N
81,11/20/2012,\N,14,Retiro,245,11/22/2012,Pago Posterior,Terminada,\N
82,11/20/2012,\N,14,Venta,242,11/22/2012,Pago ya Efectuado,Anulada,\N
83,11/20/2012,\N,4,Venta,199,11/22/2012,Pago Posterior,Terminada,\N
84,11/20/2012,\N,5,Soporte,80,11/22/2012,Pago ya Efectuado,Terminada,\N
85,11/20/2012,\N,4,Venta,4,11/22/2012,Pago Posterior,Terminada,\N
86,11/21/2012,\N,4,Venta,30,11/23/2012,Pago Contra Entrega,Terminada,\N
87,11/21/2012,\N,4,Soporte,83,11/23/2012,Pago Posterior,Terminada,\N
88,11/21/2012,\N,7,Retiro,90,11/23/2012,Pago Contra Entrega,Terminada,\N
89,11/21/2012,\N,5,Venta,78,11/23/2012,Pago Posterior,Terminada,\N
90,11/21/2012,\N,5,Soporte,183,11/23/2012,Pago ya Efectuado,Terminada,\N
91,11/21/2012,\N,7,Venta,45,11/23/2012,Pago ya Efectuado,Terminada,\N
92,11/21/2012,\N,7,Retiro,217,11/23/2012,Pago Contra Entrega,Terminada,\N
93,11/21/2012,\N,5,Venta,187,11/23/2012,Pago Contra Entrega,Terminada,\N
94,11/21/2012,\N,5,Retiro,41,11/23/2012,Pago Posterior,Terminada,\N
95,11/22/2012,\N,4,Venta,199,12/3/2012,Pago Posterior,Terminada,\N
96,11/22/2012,\N,7,Retiro,135,11/24/2012,Pago Contra Entrega,Terminada,\N
97,11/22/2012,\N,7,Retiro,94,11/24/2012,Pago Contra Entrega,Terminada,\N
98,11/22/2012,\N,7,Retiro,41,11/24/2012,Pago Contra Entrega,Terminada,\N
99,11/22/2012,\N,7,Retiro,166,11/24/2012,Pago Contra Entrega,Terminada,\N
100,11/22/2012,\N,5,Soporte,41,11/24/2012,Pago ya Efectuado,Terminada,\N
101,11/23/2012,\N,15,Retiro,257,11/25/2012,Pago Posterior,Terminada,\N
102,11/23/2012,\N,4,Retiro,4,11/25/2012,Pago Contra Entrega,Terminada,\N
103,11/23/2012,\N,15,Prestamo,268,11/25/2012,Pago Posterior,Anulada,\N
104,11/23/2012,\N,14,Venta,242,11/25/2012,Pago ya Efectuado,Terminada,\N
105,11/23/2012,\N,5,Venta,188,11/25/2012,Pago Contra Entrega,Terminada,\N
106,11/23/2012,\N,5,Venta,188,11/25/2012,Pago Posterior,Terminada,\N
107,11/23/2012,\N,5,Venta,187,11/25/2012,Pago Contra Entrega,Terminada,\N
108,11/26/2012,\N,4,Soporte,246,11/28/2012,Pago Posterior,Terminada,\N
109,11/26/2012,\N,5,Venta,211,11/28/2012,Pago Contra Entrega,Terminada,\N
110,11/26/2012,\N,14,Prestamo,269,11/28/2012,Pago Posterior,Terminada,\N
111,11/26/2012,\N,16,Soporte,3,11/28/2012,Pago Posterior,Terminada,\N
112,11/26/2012,\N,5,Soporte,12,11/28/2012,Pago ya Efectuado,Terminada,\N
113,11/26/2012,\N,5,Venta,12,11/28/2012,Pago Posterior,Terminada,\N
114,11/26/2012,\N,4,Venta,4,11/28/2012,Pago Posterior,Terminada,\N
115,11/26/2012,\N,4,Venta,4,11/28/2012,Pago Posterior,Terminada,\N
116,11/26/2012,\N,4,Venta,4,11/28/2012,Pago Posterior,Terminada,\N
117,11/26/2012,\N,5,Prestamo,268,11/28/2012,Pago Posterior,Terminada,\N
118,11/26/2012,\N,5,Prestamo,80,11/28/2012,Pago Posterior,Terminada,\N
119,11/26/2012,\N,15,Prestamo,271,11/28/2012,Pago Posterior,Terminada,\N
120,11/26/2012,\N,5,Venta,15,11/28/2012,Pago Contra Entrega,Terminada,\N
121,11/27/2012,\N,5,Venta,78,11/29/2012,Pago Posterior,Terminada,\N
122,11/27/2012,\N,5,Venta,41,11/29/2012,Pago Posterior,Terminada,\N
123,11/27/2012,\N,14,Prestamo,272,11/29/2012,Pago Posterior,Terminada,
124,11/27/2012,\N,7,Venta,145,11/29/2012,Pago Contra Entrega,Terminada,\N
125,11/27/2012,\N,7,Retiro,84,11/29/2012,Pago Contra Entrega,Terminada,\N
126,11/27/2012,\N,7,Venta,168,11/29/2012,Pago ya Efectuado,Terminada,\N
127,11/27/2012,\N,14,Venta,238,11/29/2012,Pago Posterior,Terminada,\N
128,11/28/2012,\N,5,Prestamo,112,11/30/2012,Pago Posterior,Terminada,\N
129,11/28/2012,\N,14,Prestamo,238,11/30/2012,Pago Posterior,Terminada,\N
130,11/28/2012,\N,15,Prestamo,271,11/30/2012,Pago Posterior,Anulada,\N
131,11/28/2012,\N,15,Prestamo,271,11/30/2012,Pago Posterior,Terminada,\N
132,11/28/2012,\N,15,Prestamo,273,11/30/2012,Pago Posterior,Terminada,\N
133,11/28/2012,\N,16,Venta,3,11/30/2012,Pago Contra Entrega,Terminada,\N
134,11/28/2012,\N,7,Venta,168,11/30/2012,Pago ya Efectuado,Terminada,\N
135,11/28/2012,\N,5,Retiro,243,11/30/2012,Pago Posterior,Terminada,\N
136,11/29/2012,\N,4,Soporte,4,12/1/2012,Pago Posterior,Terminada,\N
137,11/29/2012,\N,4,Venta,30,12/1/2012,Pago Posterior,Terminada,\N
138,11/29/2012,\N,15,Prestamo,266,12/1/2012,Pago Posterior,Terminada,\N
139,11/29/2012,\N,5,Venta,187,12/1/2012,Pago Posterior,Terminada,\N
140,11/29/2012,\N,5,Venta,7,12/1/2012,Pago Posterior,Terminada,\N
141,11/29/2012,\N,5,Venta,44,12/1/2012,Pago Contra Entrega,Terminada,\N
142,11/29/2012,\N,4,Venta,230,12/1/2012,Pago Posterior,Terminada,\N
143,11/29/2012,\N,15,Prestamo,274,12/1/2012,Pago Posterior,Terminada,\N
144,11/30/2012,\N,4,Venta,4,12/2/2012,Pago Posterior,Terminada,\N
145,11/30/2012,\N,4,Venta,4,12/2/2012,Pago Posterior,Terminada,\N
146,11/30/2012,\N,5,Venta,117,12/2/2012,Pago Contra Entrega,Terminada,\N
147,11/30/2012,\N,15,Prestamo,275,12/2/2012,Pago Contra Entrega,Terminada,\N
148,12/3/2012,\N,5,Venta,38,12/5/2012,Pago Posterior,Terminada,\N
149,12/3/2012,\N,4,Venta,4,12/5/2012,Pago Posterior,Terminada,\N
150,12/3/2012,\N,4,Venta,4,12/5/2012,Pago Posterior,Terminada,\N
151,12/3/2012,\N,4,Venta,4,12/5/2012,Pago Posterior,Terminada,\N
152,12/3/2012,\N,4,Venta,4,12/5/2012,Pago Posterior,Terminada,\N
153,12/3/2012,\N,4,Prestamo,30,12/5/2012,Pago Posterior,Terminada,\N
154,12/3/2012,\N,7,Venta,276,12/5/2012,Pago ya Efectuado,Terminada,\N
155,12/3/2012,\N,4,Soporte,83,12/5/2012,Pago Posterior,Terminada,\N
156,12/3/2012,\N,15,Prestamo,268,12/5/2012,Pago Posterior,Terminada,\N
157,12/3/2012,\N,7,Venta,168,12/5/2012,Pago ya Efectuado,Terminada,\N
158,12/3/2012,\N,4,Venta,246,12/5/2012,Pago Posterior,Terminada,\N
159,12/3/2012,\N,4,Retiro,246,12/5/2012,Pago Posterior,Terminada,\N
160,12/4/2012,\N,5,Venta,211,12/6/2012,Pago Contra Entrega,Terminada,\N
161,12/4/2012,\N,7,Venta,168,12/6/2012,Pago Contra Entrega,Terminada,\N
162,12/4/2012,\N,5,Venta,98,12/6/2012,Pago Contra Entrega,Terminada,\N
163,12/4/2012,\N,5,Arriendo,277,12/6/2012,Pago Posterior,Terminada,\N
164,12/5/2012,\N,4,Venta,246,12/7/2012,Pago Posterior,Terminada,\N
165,12/5/2012,\N,15,Retiro,268,12/7/2012,Pago Posterior,Anulada,\N
166,12/5/2012,\N,7,Venta,3,12/7/2012,Pago Contra Entrega,Terminada,\N
167,12/5/2012,\N,15,Retiro,268,12/7/2012,Pago Posterior,Terminada,\N
168,12/5/2012,\N,5,Venta,78,12/7/2012,Pago Posterior,Terminada,\N
169,12/6/2012,\N,5,Soporte,38,12/8/2012,Pago ya Efectuado,Terminada,\N
170,12/6/2012,\N,5,Soporte,38,12/8/2012,Pago ya Efectuado,Terminada,\N
